Date,Adj Close,Close,High,Low,Open,Volume
,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO
2021-04-08,82537.0078125,83107.75,84499.953125,82500.0,84199.8984375,2087
2021-04-09,81321.7578125,81884.1015625,83621.1484375,81500.0,82547.046875,1056
2021-04-12,78809.6328125,79354.6015625,81500.0,78990.0,81500.0,995
2021-04-13,82130.3515625,82698.296875,83000.0,79000.0,79300.0,1312
2021-04-15,80523.6796875,81080.5,82435.953125,79400.0,81800.0,1029
2021-04-16,80767.9765625,81326.5,81950.0,80985.046875,81223.703125,886
2021-04-19,78746.609375,79291.1484375,80199.8515625,78776.0,80100.0,941
2021-04-20,78817.8203125,79362.8515625,80618.25,78657.453125,80500.0,1342
2021-04-22,77794.2109375,78332.1484375,79200.8515625,77656.6015625,79050.0,893
2021-04-23,77717.125,78254.546875,78841.25,77900.0,78390.0,760
2021-04-26,77333.640625,77868.3984375,79200.0,77530.0,78599.75,742
2021-04-27,77500.671875,78036.6015625,78400.0,77668.203125,78038.296875,605
2021-04-28,77556.9921875,78093.296875,79250.0,77870.8515625,78040.1015625,1056
2021-04-29,77178.921875,77712.6015625,79000.0,77502.8515625,79000.0,1029
2021-04-30,80167.1015625,80721.453125,81700.0,77151.796875,77800.0,3198
2021-05-03,79323.1640625,79871.703125,81105.953125,79200.0,80101.1015625,934
2021-05-04,78107.96875,78648.1015625,80808.8984375,78391.1015625,80720.8984375,1093
2021-05-05,77704.2734375,78241.6015625,79337.046875,77500.296875,79150.0,924
2021-05-06,77385.8359375,77920.953125,79109.75,77747.1484375,78000.1015625,831
2021-05-07,76933.0546875,77465.046875,78700.0,77245.0,78499.703125,1084
2021-05-10,77861.8125,78400.25,78710.0,77550.0,77650.0,1369
2021-05-11,78089.3984375,78629.3984375,79533.6484375,77526.0,78300.0,1243
2021-05-12,76802.6953125,77333.796875,79159.0,77022.046875,78105.0,1505
2021-05-14,75638.75,76161.796875,77777.0,76000.0,77724.953125,1857
2021-05-17,77661.921875,78198.953125,78386.796875,76001.046875,76827.75,1610
2021-05-18,78696.9453125,79241.1484375,79956.296875,78466.203125,79100.0,977
2021-05-19,79098.671875,79645.6484375,79966.703125,78350.203125,79306.0,761
2021-05-20,80874.9921875,81434.25,82443.546875,79286.1484375,79850.453125,1433
2021-05-21,81628.234375,82192.703125,82400.0,81100.0,81100.0,1827
2021-05-24,82015.359375,82582.5,83252.0,82000.8984375,82047.046875,1217
2021-05-25,81614.96875,82179.3515625,83060.296875,81825.6015625,82949.953125,942
2021-05-26,81070.2421875,81630.8515625,82782.3984375,81412.6015625,82774.953125,648
2021-05-27,82262.5390625,82831.3984375,83188.6484375,81332.0,81693.0,1085
2021-05-28,82776.5859375,83349.0,83600.0,82714.046875,82714.046875,653
2021-05-31,83058.1015625,83632.453125,83939.453125,83000.203125,83174.6484375,458
2021-06-01,82635.6796875,83207.1015625,84681.0,82780.453125,83927.8515625,717
2021-06-02,83812.03125,84391.6015625,84720.046875,83000.0,83649.953125,806
2021-06-03,83879.2578125,84459.296875,85099.5,83869.703125,84750.5,486
2021-06-04,84346.234375,84929.5,85321.296875,84293.6015625,85255.8515625,421
2021-06-07,81825.90625,82391.75,87243.046875,82000.0,85070.046875,4660
2021-06-08,80792.8203125,81351.5,83099.953125,81200.0,83099.953125,1066
2021-06-09,79662.984375,80213.8515625,81896.546875,80001.0,81416.203125,1284
2021-06-10,81627.03125,82191.5,82318.0,80023.6484375,81290.0,882
2021-06-11,81579.40625,82143.546875,82852.546875,81358.25,82500.0,1162
2021-06-14,81929.59375,82496.1484375,83000.0,81325.8515625,82000.0,496
2021-06-15,82279.625,82848.6015625,83300.8984375,81923.0,82500.0,6745
2021-06-16,81957.265625,82524.0,83140.75,82414.0,82989.953125,329
2021-06-17,82113.6328125,82681.453125,83300.0,81813.203125,82300.0,440
2021-06-18,82124.140625,82692.046875,83078.8515625,80501.3515625,82681.453125,1499
2021-06-21,81199.84375,81761.3515625,82200.0,81000.0,81000.0,480
2021-06-22,81242.109375,81803.8984375,82394.0,81502.3515625,82250.0,384
2021-06-23,81410.9921875,81973.953125,82450.0,81802.6484375,82050.0,6189
2021-06-24,80415.6640625,80971.75,82153.8515625,80610.6484375,81890.0,809
2021-06-25,79962.296875,80515.25,81330.046875,80379.953125,81101.046875,469
2021-06-28,79991.6015625,80544.75,81050.0,79917.296875,80998.953125,808
2021-06-29,79653.2421875,80204.046875,80793.703125,79547.0,80493.546875,695
2021-06-30,79507.6015625,80057.3984375,80656.0,79821.25,80205.0,581
2021-07-01,80431.3046875,80987.5,81449.703125,80191.8984375,80375.546875,271
